ยานพาหนะอาคาร และสถานที่,น้ำท่วมขัง,ฝนตกทำให้เกิดน้ำท่วมขังเป็นเวลานาน จนเป็นแอ่งน้ำเสียแล้วส่งกลิ่นเหม็น ที่บริเวณ ศาลา 6 เหลี่ยม,อยากให้ระบายน้ำอกก,Tommy,2,02-06-2022 | 21:32:09,ระบุไม่ได้,ไม่มีการตอบกลับ,รอดำเนินการ,maxresdefault.jpg
ความปลอดภัย,คนขับรถเร็ว,ชอบมีรถขับเร็วใน ม.เกษตร เสี่ยงอุบัติเหตเวลาที่นิสิตเดินในมหาลัย หรือตอนข้มถนน,แก้ปัญหา,Tommy,5,13-06-2022 | 18:09:38,ระบุไม่ได้,ไม่มีการตอบกลับ,รอดำเนินการ,null
บริการคอมพิวเตอร์,wifiล่ม,wifi ของมหาลัยล่ม ไม่สามารถใช้งานได้ ไม่สามารถเชื่อมต่อกับ wifiได้,ซ่อมแซมให้ใช้งานได้,KiYo2,4,13-06-2022 | 22:12:10,ระบุไม่ได้,ไม่มีการตอบกลับ,รอดำเนินการ,null
การเงิน,ค่าเทอม ม.เกษตร,จ่ายค่าเทอมในเว็บ myku แล้วสถานะการเงินไม่ยอมเปลี่ยนครับ รอมา 1 อาทิตย์แล้วยังไม่มีการเปลี่ยนแปลง แล้ว อีก 2 วันจะลงทะเบียนเรียนแล้วครับ,อยากให้สถานะเปลี่ยนครับ,Tommy,0,17-06-2022 | 17:12:29,MotiM,เจ้าหน้าที่กำลังตรวจสอบรายชื่อที่จ่ายค่าแล้วเทอมแล้วอีกครั้ง และได้แก้ไขเรียบร้อยแล้วครับ นิสิตสามารถตรวจอีกครั้งทาง my.ku ได้เลยครับ,ดำเนินการเสร็จสิ้น,null
ยานพาหนะอาคาร และสถานที่,รถตะลัยมีน้อย,รถตะลัยที่ให้บริการมีจำนวนน้อย ทำให้ต้องรอนานมาก และบางที่ปล่อยรถแบบต่อ ๆ กันทำให้รอนนานกว่าเดิม,เพิ่มจำนวนรถ หรือ ความถี่ของรถ,Tommy,5,19-06-2022 | 23:47:32,ระบุไม่ได้,ไม่มีการตอบกลับ,รอดำเนินการ,963px-รถตะลัย_มหาวิทยาลัยเกษตรศาสตร์.jpg
ความปลอดภัย,ต้นไม้ล้มที่เศรษฐศาสตร์,ต้นไม้โค่นล้มแถว คณะเศรษฐศาสตร์ เมื่อวานหลังจากที่ฝนตกหนัก,เคลียร์ต้นไม้ออกจากถนน,earth139,4,20-06-2022 | 08:50:57,ระบุไม่ได้,ไม่มีการตอบกลับ,รอดำเนินการ,null
บริการคอมพิวเตอร์,nisitku ชื่อไม่ตรง,ข้อมูล ใน แอพ nisitku ชื่อ-นามสกุลขึ้นไม่ถูกต้อง ไปขึ้นชื่่อคนอื่น,แก้ไขชื่อให้ถูกต้อง,KiYo2,1,20-06-2022 | 12:05:11,ระบุไม่ได้,ไม่มีการตอบกลับ,รอดำเนินการ,null
ยานพาหนะอาคาร และสถานที่,มีรถจอดขวางที่ทำกิจกรรม,ที่บริเวณด้านข้างของตึก SC-45 มีรถจอดขวางที่ลาน ทำให้ไม่สามารถทำกิจกรรมต่าง ๆ ได้,ย้ายรถที่จอดขวางอยู่ออกไป,Tommy,2,21-06-2022 | 13:52:13,ระบุไม่ได้,ไม่มีการตอบกลับ,รอดำเนินการ,physic.jpg
บริการคอมพิวเตอร์,KUWIN ล่ม,wifi KUWIN มีปัญหาไม่สามารถเชื่อมต่อได้,ซ่อมแซมและแก้ไข,earth139,8,21-06-2022 | 22:07:14,ระบุไม่ได้,ไม่มีการตอบกลับ,รอดำเนินการ,null
ยานพาหนะอาคาร และสถานที่,ของตกลงจากตึก,บริเวณด้านหน้าของตึก ยงยุทธ เจียมไชยศรี มีเศษวัสดุจากอาคารตกลงมา เป็นอันตรายต่อคนรอบข้าง,ซ่อมแซม และ แก้ไข,Tommy,3,21-06-2022 | 13:55:19,ระบุไม่ได้,ไม่มีการตอบกลับ,รอดำเนินการ,ยงยุท.jpg
